state,scenario,factor,low_level,high_level,low_mean_impact_avg_full_pct,high_mean_impact_avg_full_pct,effect_pct_points
OR,s_o2,damage_scenario,low,high,-11.720902727983866,-12.613510323464569,-0.8926075954807029
PA,s_c2,social_rate,0.01,0.05,-18.65232239934941,-16.24987616504552,2.4024462343038877
PA,s_c2,spc,1.05,1.2,-17.726202763069047,-17.175995801325886,0.5502069617431609
PA,s_c2,damage_scenario,low,high,-18.091079789234236,-16.811118775160697,1.279961014073539
PA,s_o2,social_rate,0.01,0.05,-20.249575199493428,-12.63495997930373,7.614615220189698
PA,s_o2,spc,1.05,1.2,-17.329157199003745,-15.555377979793416,1.7737792192103292
PA,s_o2,damage_scenario,low,high,-16.026364362564323,-16.858170816232843,-0.8318064536685199
RI,s_c2,social_rate,0.01,0.05,-4.171806178769875,-1.6853530171441449,2.4864531616257297
RI,s_c2,spc,1.05,1.2,-3.203683078828587,-2.653476117085432,0.5502069617431551
RI,s_c2,damage_scenario,low,high,-2.241803950760382,-3.615355245153637,-1.373551294393255
RI,s_o2,social_rate,0.01,0.05,-7.1840730614297685,0.4942448373269903,7.678317898756759
RI,s_o2,spc,1.05,1.2,-4.231803721656544,-2.458024502446235,1.7737792192103088
RI,s_o2,damage_scenario,low,high,-1.9689461901455318,-4.720882033957247,-2.751935843811715
SC,s_c2,social_rate,0.01,0.05,-18.72949385502432,-16.327924578692716,2.401569276331603
SC,s_c2,spc,1.05,1.2,-17.8038126977301,-17.253605735986937,0.5502069617431609
SC,s_c2,damage_scenario,low,high,-18.186668461564846,-16.870749972152186,1.3159184894126597
SC,s_o2,social_rate,0.01,0.05,-18.623857895632266,-11.004844835301096,7.61901306033117
SC,s_o2,spc,1.05,1.2,-15.701240975071842,-13.927461755861518,1.7737792192103239
SC,s_o2,damage_scenario,low,high,-14.349663059795876,-15.279039671137488,-0.9293766113416115
SD,s_c2,social_rate,0.01,0.05,-6.7581365431384235,-4.354344634751778,2.403791908386646
SD,s_c2,spc,1.05,1.2,-5.831344069816679,-5.281137108073522,0.5502069617431573
SD,s_c2,damage_scenario,low,high,-7.011832782969085,-4.100648394921117,2.9111843880479684
SD,s_o2,social_rate,0.01,0.05,-11.059216878217857,-3.4380435787399604,7.6211732994778965
SD,s_o2,spc,1.05,1.2,-8.135519838084065,-6.361740618873751,1.7737792192103141
SD,s_o2,damage_scenario,low,high,-7.260644482608342,-7.236615974349475,0.024028508258866488
TN,s_c2,social_rate,0.01,0.05,-18.904005379307172,-16.502811068716206,2.4011943105909666
TN,s_c2,spc,1.05,1.2,-17.978511704883267,-17.42830474314011,0.5502069617431573
TN,s_c2,damage_scenario,low,high,-18.36568321803045,-17.041133229992926,1.3245499880375249
TN,s_o2,social_rate,0.01,0.05,-19.136147996656742,-11.518505134015225,7.617642862641517
TN,s_o2,spc,1.05,1.2,-16.214216174941146,-14.440436955730823,1.7737792192103239
TN,s_o2,damage_scenario,low,high,-14.879007529039328,-15.775645601632641,-0.8966380725933139
TX,s_c2,social_rate,0.01,0.05,-15.814172698901844,-13.418452496837011,2.395720202064833
TX,s_c2,spc,1.05,1.2,-14.891416078741006,-14.341209116997847,0.5502069617431591
TX,s_c2,damage_scenario,low,high,-15.717028060231131,-13.515597135507722,2.201430924723409
TX,s_o2,social_rate,0.01,0.05,-18.14014182451244,-10.528622708047664,7.611519116464777
TX,s_o2,spc,1.05,1.2,-15.221271875885215,-13.44749265667489,1.7737792192103257
TX,s_o2,damage_scenario,low,high,-14.189439061045928,-14.479325471514176,-0.2898864104682488
UT,s_c2,social_rate,0.01,0.05,-14.71626774988199,-12.300063690999789,2.416204058882201
UT,s_c2,spc,1.05,1.2,-13.783269201312468,-13.23306223956931,0.5502069617431573
UT,s_c2,damage_scenario,low,high,-14.20703880031984,-12.809292640561937,1.3977461597579026
UT,s_o2,social_rate,0.01,0.05,-16.242543306965555,-8.614800329418681,7.627742977546873
UT,s_o2,spc,1.05,1.2,-13.315561427797281,-11.541782208586957,1.7737792192103239
UT,s_o2,damage_scenario,low,high,-11.99109292798693,-12.86625070839731,-0.8751577804103796
VA,s_c2,social_rate,0.01,0.05,-16.492677826533356,-14.084513000361536,2.40816482617182
VA,s_c2,spc,1.05,1.2,-15.563698894319028,-15.01349193257586,0.550206961743168
VA,s_c2,damage_scenario,low,high,-15.866666110855025,-14.710524716039863,1.1561413948151618
VA,s_o2,social_rate,0.01,0.05,-16.840419921935702,-9.216148157315668,7.624271764620033
VA,s_o2,spc,1.05,1.2,-13.915173649230848,-12.141394430020522,1.7737792192103257
VA,s_o2,damage_scenario,low,high,-12.499899718233742,-13.556668361017627,-1.0567686427838847
VT,s_c2,social_rate,0.01,0.05,-16.74516245978643,-14.29578351300615,2.449378946780282
VT,s_c2,spc,1.05,1.2,-15.795576467267868,-15.245369505524714,0.5502069617431538
VT,s_c2,damage_scenario,low,high,-15.282758484669756,-15.758187488122825,-0.47542900345306904
