state,scenario,climate change,acidification,eutrophication,ecotoxicity: freshwater,particulate matter formation,photochemical oxidant formation
RI,s_c2,4.0406846103235265,0.011848782273793013,0.009433805678775295,63.4336311587641,0.0021721750654751975,0.21859083535085105
RI,s_o1,5.267439886633368,0.016748561552619258,0.015835921653823137,86.20544929657638,0.0031006515124349303,0.30530692590437186
RI,s_o2,2.8488500530632477,0.009216040594280665,0.008765748859884572,47.79492268007731,0.0017150276328163397,0.16640489821443352
SC,s_c1,5.3593916139041555,0.018335115781518696,0.02115192222529366,92.70512922540706,0.00507246652735594,0.2702815520557323
SC,s_c2,5.270525402205644,0.015339519511272742,0.01627058187962396,70.24356558078678,0.003924752186058345,0.2534553049352879
SC,s_o1,6.635887825861666,0.02063271648596326,0.02344322526968271,93.78288597586813,0.00505074990308138,0.3441007371602953
SC,s_o2,3.59841867214827,0.011343590036417845,0.012932656421977122,51.94547060015668,0.002783195822379395,0.18765424405987766
SD,s_c1,5.44135965522986,0.022157831965388116,0.04059270569545536,112.558700131736,0.014407595866648486,0.29004451107508045
SD,s_c2,5.386556528157863,0.018613428614076766,0.03184365210991281,86.79210948363409,0.011413768468303354,0.2755081359503887
SD,s_o1,6.768198231949158,0.024296730507349866,0.0407704817897007,112.28387101325308,0.013384637791525848,0.3693222566033559
SD,s_o2,3.6685578044543448,0.013340864284892435,0.0224238590344937,62.050212284842324,0.007347669936239498,0.20118427524527194
TN,s_c1,5.352612310983486,0.018321391517362767,0.021151158200200106,92.70758370950433,0.005071719356890665,0.26999213604863
TN,s_c2,5.265528872159604,0.01532940435651165,0.016270018772416548,70.24537460210992,0.003924201501168918,0.25324199749170356
TN,s_o1,6.626823470196732,0.02061436627901654,0.023442203719935495,93.78616777594284,0.005049750889035417,0.34371376970151707
TN,s_o2,3.593395186379856,0.011333420311524884,0.012932090276869123,51.94728938094811,0.002782642166606403,0.1874397858464238
TX,s_c1,5.252169979246616,0.01854264134084564,0.02742948410970118,99.49707069277801,0.008795779048066082,0.27731784598136794
TX,s_c2,5.363961298097167,0.017549421238896707,0.02141250803550543,76.16630972524966,0.006943932979933529,0.330756708265993
TX,s_o1,6.761801417459738,0.02336528919102383,0.02917966756572358,100.43822480189165,0.00841494500329213,0.43972395812762116
TX,s_o2,3.659188927565151,0.01274718892133198,0.016069693964481345,55.56903459982824,0.004624302538257041,0.23676491630192115
UT,s_c1,4.742803702096757,0.01673814286666681,0.026353434131365486,96.89855749592755,0.00829445193308059,0.26442003272331877
UT,s_c2,4.8133699415560605,0.014033646817830892,0.020419899663925087,73.48181939451706,0.006504605637152937,0.2483960335576851
UT,s_o1,6.130319789863746,0.0191706514209989,0.028057313401540104,97.37368014487592,0.007920960835443691,0.33828248905042185
UT,s_o2,3.319791512702066,0.010543881054037205,0.015460864465351278,53.91792554627434,0.004355436845441141,0.18448230722201145
VA,s_c1,5.3593916139041555,0.018335115781518696,0.02115192222529366,92.70512922540706,0.00507246652735594,0.2702815520557323
VA,s_c2,5.270525402205644,0.015339519511272742,0.01627058187962396,70.24356558078678,0.003924752186058345,0.2534553049352879
VA,s_o1,6.635887825861666,0.02063271648596326,0.02344322526968271,93.78288597586813,0.00505074990308138,0.3441007371602953
VA,s_o2,3.59841867214827,0.011343590036417845,0.012932656421977122,51.94547060015668,0.002783195822379395,0.18765424405987766
VT,s_c1,3.8245113895547664,0.013978565251097513,0.01261940918925591,84.20611557870355,0.0028851948237449683,0.22676959079147124
VT,s_c2,4.0406846103235265,0.011848782273793013,0.009433805678775295,63.4336311587641,0.0021721750654751975,0.21859083535085105
VT,s_o1,5.267439886633368,0.016748561552619258,0.015835921653823137,86.20544929657638,0.0031006515124349303,0.30530692590437186
VT,s_o2,2.8488500530632477,0.009216040594280665,0.008765748859884572,47.79492268007731,0.0017150276328163397,0.16640489821443352
WA,s_c1,4.730473465429666,0.016731073112836434,0.026353199015146295,96.86686109457861,0.00829393653452752,0.26423281906592705
WA,s_c2,4.762873826963561,0.013991079301458072,0.020417444626571343,73.37848399291296,0.006502893081800642,0.24703492142217504
WA,s_o1,6.069650029563459,0.01912133825525313,0.028054564370283044,97.24596613715686,0.007918849709559422,0.33672707162918514
WA,s_o2,3.288421685710391,0.010518584590973204,0.015459465121382984,53.85149844596661,0.004354339381342255,0.1836868554923878
WI,s_c1,5.446213650181097,0.022108963229710066,0.04058987736805292,112.2445657742958,0.014403851666416116,0.2890597894858514
WI,s_c2,5.404304198608849,0.01843474976811932,0.03183331089135565,85.64353946879301,0.011400078542274547,0.27190769663655034
WI,s_o1,6.78980811240112,0.024079167953937677,0.0407578901373278,110.88535165377047,0.013367968693139347,0.36493829740367056
WI,s_o2,3.6797628938425007,0.013228054412393681,0.02241733004925953,61.32505628645976,0.00733902672611828,0.19891111807461087
WV,s_c1,5.369508775445955,0.020483910384910476,0.020827586517713048,93.02939755035409,0.004751699755251711,0.27495061269971754
WV,s_c2,5.278631896617897,0.017061266403768902,0.016010704087781498,70.50338938150333,0.003667734045648494,0.2571964445686286
WV,s_o1,6.644907949154076,0.022548509979284745,0.023154058386419898,94.07199278302559,0.004764764963478025,0.3482635156722811
WV,s_o2,3.6033594529894333,0.012392967686875539,0.01277426499534042,52.10382912005135,0.002626547308312805,0.18993440982383478
WY,s_c1,4.728619221233419,0.016725346223602697,0.026352652515870788,96.87116223403619,0.008293995418093076,0.2640010483086812
WY,s_c2,4.761507198720561,0.013986858428831262,0.020417041841789163,73.38165404930128,0.006502936480584847,0.2468641000905538
WY,s_o1,6.067170788101454,0.019113681043077237,0.02805383366627678,97.25171703194118,0.007918928440601132,0.3364171795059107
WY,s_o2,3.2870476846604304,0.010514340947209298,0.015459060163621828,53.854685604455604,0.0043543830142580625,0.1835151125987329
